,Demand,Lost Load,RES production,Bat Inflow,Bat Outflow,Curtailment,Genset production,Bat SoC,Diesel consumption
2011-01-01 20:16:00,146.1,0.0,0.0,0.00029123432742737213,1447.5014093727004,3.369163517311654e-05,9.81650661092379e-08,262155.8335252553,3.325374868199116e-08
2011-01-01 20:17:00,141.4,0.0,0.0,0.0002827584659453415,1538.1031641592497,3.36709769225605e-05,9.493773626002707e-08,260536.777831603,3.21604797628818e-08
2011-01-01 20:18:00,144.9,0.0,0.0,0.0002817914312349609,1509.8000685716574,3.361822269759046e-05,9.573433195669821e-08,258947.51486922943,3.2430329253624053e-08
2011-01-01 20:19:00,147.0,0.0,0.0,0.0002816227728933904,1471.2015601792875,3.3690645800558596e-05,9.549653895814135e-08,257398.88191552972,3.234977606983108e-08
2011-01-01 20:20:00,146.0,0.0,0.0,0.0002960837718128436,1473.5019147425935,3.3648595251999676e-05,9.930089427321059e-08,255847.82754971183,3.363851432019329e-08
2011-01-01 20:21:00,143.7,0.0,0.0,0.0002922745793907224,1420.002003812258,3.3695301802146596e-05,9.742473856184825e-08,254353.08887599132,3.300296021742827e-08
2011-01-01 20:22:00,145.2,0.0,0.0,0.00028421051284192693,1498.8040169255264,3.3680833354417065e-05,9.584542237217253e-08,252775.40070712235,3.246796150818853e-08
2011-01-01 20:23:00,145.1,0.0,0.0,0.0002826460854719916,1470.8015245141644,3.362739799142215e-05,9.610617182257727e-08,251227.1888445686,3.255629126781073e-08
2011-01-01 20:24:00,160.8,0.0,0.0,0.00028415610899582954,1521.2046789076282,3.369789273513157e-05,9.737972852741084e-08,249625.92103145624,3.298771291578958e-08
2011-01-01 20:25:00,161.1,0.0,0.0,0.00030317994201634925,1504.0851550567959,3.363962391907309e-05,9.691089238232652e-08,248042.67378783843,3.2828893083443947e-08
2011-01-01 20:26:00,162.2,0.0,0.0,0.0003029435294251894,1349.3023990245501,3.3690283483081055e-05,9.622106764922143e-08,246622.35576089707,3.259521261829994e-08
2011-01-01 20:27:00,163.9,0.0,0.0,0.00029054469000544276,1426.1038843701226,3.3690840400596774e-05,9.765883078360445e-08,245121.19405336704,3.308225975054352e-08
