,Lost_Load 1,PV_Energy 1,Battery_Flow_Out 1,Battery_Flow_in 1,Curtailment 1,Energy_Demand 1,SOC 1,Gen energy 1,Diesel 1
2011-01-03 06:00:00,6.0130230571e-06,0.0,0.000115310032111,0.000125871222449,0.000420750638632,53.1,0.000764569662635,53.1377057222,0.0179095738868
2011-01-03 07:00:00,6.25918477017e-06,0.0,0.000115478073099,0.000125675691664,0.000418244147376,52.5,0.000762405703296,52.5398654489,0.0177080773337
2011-01-03 08:00:00,6.15032738437e-06,0.0,0.000115517800511,0.000125736471597,0.000410635222337,51.4,0.000760257666564,51.4405393503,0.0173375596058
2011-01-03 09:00:00,6.07199134035e-06,0.0,0.000114789029639,0.000126471773359,0.000404053679311,50.1,0.00075957529374,50.1406906287,0.0168994575762
2011-01-03 10:00:00,5.96442626494e-06,0.0,0.000113624620124,0.000127681710449,0.000406449515268,48.0,0.000761268055379,48.0429757146,0.0161924421013
2011-01-03 11:00:00,5.88673691858e-06,0.0,0.000113709923769,0.000127632698071,0.000405195912222,48.3,0.000762824461947,48.3440766592,0.0162939253991
2011-01-03 12:00:00,6.07086013092e-06,0.0,0.000114205987147,0.000127149326275,0.000417155498539,49.2,0.000763399493333,49.2443889031,0.0165973673418
2011-01-03 13:00:00,6.01287098347e-06,0.0,0.000114468638591,0.000126943507039,0.000413627370435,49.0,0.000763502521241,49.0442888079,0.0165299254492
2011-01-03 14:00:00,5.96201064625e-06,0.0,0.000113964208884,0.00012740742534,0.000408719292352,48.7,0.000764577250172,48.7441149575,0.01642875462
2011-01-03 15:00:00,5.83014668934e-06,0.0,0.000113892715431,0.000127496384138,0.000421972439156,51.0,0.000765811746228,51.0483066404,0.0172053611865
2011-01-03 16:00:00,5.83943320191e-06,0.0,0.000114572714253,0.000126786517741,0.000417314042913,51.7,0.000765656080974,51.7514916807,0.0174423632223
2011-01-03 17:00:00,6.05121218512e-06,0.0,0.000114571125624,0.000126770768782,0.000421454741542,49.7,0.000765487126449,49.7636521124,0.0167723802199
2011-01-03 18:00:00,5.98567412665e-06,0.0,0.000114994553882,0.000126407800695,0.000421047165013,50.4,0.000764527638286,50.5199172015,0.0170272723968
2011-01-03 19:00:00,5.86455689549e-06,0.0,0.000114079305407,0.000127323173061,0.000418387886405,49.3,0.000765401173318,49.6577715085,0.0167366941383
2011-01-03 20:00:00,5.81124118613e-06,0.0,0.000113817154261,0.00012756637014,0.000412627826762,48.5,0.000766781694151,48.8348482438,0.0164593354378
2011-01-03 21:00:00,5.84250236751e-06,0.0,0.000114012978384,0.000127383965049,0.000396265516315,47.0,0.00076778279949,47.3454848295,0.015957359228
2011-01-03 22:00:00,6.0496095981e-06,0.0,0.000114685295301,0.000126674066856,0.000406526982573,48.2,0.000767401799528,48.5583103771,0.0163661308989
2011-01-03 23:00:00,5.97952751897e-06,0.0,0.000114892977243,0.00012651675239,0.000400113695719,47.6,0.000766652738254,47.9536849133,0.0161623474598
2011-01-04 00:00:00,5.97185944728e-06,0.0,0.00011493224158,0.000126428552218,0.000397237873798,48.6,0.000765778555935,48.9521512523,0.0164988713354
2011-01-04 01:00:00,5.81038607463e-06,0.0,0.000114836160203,0.000126531207162,0.000400302270883,48.6,0.000765103034105,48.9578776191,0.0165008013546
2011-01-04 02:00:00,5.88978119348e-06,0.0,0.000115391910616,0.000125962659791,0.00039450184326,50.0,0.000763302391838,50.3582473161,0.0169727830523
2011-01-04 03:00:00,6.06358831018e-06,0.0,0.000115769216245,0.000125559667369,0.000409471674658,50.1,0.000760721742949,50.4607834174,0.0170073419
2011-01-04 04:00:00,5.98679136082e-06,0.0,0.000115189720364,0.000126242667412,0.000403379370518,48.0,0.000759399939765,48.3705760716,0.0163028567818
2011-01-04 05:00:00,5.97684365165e-06,0.0,0.000114649488367,0.000126773540322,0.000411472057458,48.8,0.000759151131105,49.1983939113,0.0165818651538
2011-01-04 06:00:00,5.85183218529e-06,0.0,0.000113848209746,0.000127580798311,0.000424250904238,51.0,0.000760512668716,51.756694068,0.017444116639
2011-01-04 07:00:00,5.76724615402e-06,0.0,0.000113209059666,0.000128236083613,0.000433656800809,51.2,0.000763169516921,52.212715811,0.0175978145639
2011-01-04 08:00:00,5.98039345338e-06,0.0,0.000112860181305,0.000128569571773,0.000447806211255,50.6,0.000766510419259,51.6534515182,0.0174093196893
2011-01-04 09:00:00,5.95397427896e-06,0.0,0.000113612649443,0.00012789931476,0.000447777389702,52.0,0.000768422505709,53.0251009754,0.0178716214949
2011-01-04 10:00:00,5.96607370942e-06,0.0,0.00011444963814,0.000126978241229,0.000428287623571,51.7,0.000768578531572,52.7327002447,0.017773070524
2011-01-04 11:00:00,5.90971053951e-06,0.0,0.000114442966282,0.00012693913906,0.0004129620839,50.3,0.000768704433382,51.3182004775,0.0172963264164
2011-01-04 12:00:00,5.89881403947e-06,0.0,0.000115040279302,0.000126344826701,0.000404103719802,50.3,0.000767636987903,51.331983102,0.0173009717229
2011-01-04 13:00:00,6.1229731546e-06,0.0,0.000115854196528,0.00012548933433,0.000414812669248,52.1,0.000764900069698,53.1431767922,0.0179114178605
2011-01-04 14:00:00,6.05867099484e-06,0.0,0.000116212988774,0.000125214591086,0.000416957668172,52.4,0.000761524469363,53.4471518499,0.0180138698517
2011-01-04 15:00:00,5.96812982253e-06,0.0,0.000115285948633,0.000126139103808,0.000413103582623,50.9,0.00076000298784,51.9347090954,0.017504114963
2011-01-04 16:00:00,5.84912322629e-06,0.0,0.000114350974764,0.000127086815312,0.000409373075499,48.9,0.000760366015266,49.9408589822,0.0168321061619
2011-01-04 17:00:00,5.82534955482e-06,0.0,0.000114857866978,0.000126626291565,0.000415439265119,50.5,0.000759757974382,51.5488876154,0.0173740773897
2011-01-04 18:00:00,6.07418191185e-06,0.0,0.000114604333667,0.000126888028233,0.000426448816661,49.7,0.000759665460501,50.7518161308,0.0171054317933
2011-01-04 19:00:00,6.01886839909e-06,0.0,0.000113549667772,0.000128042588974,0.00044423429253,49.8,0.000761779953951,50.8505552231,0.0171387108942
2011-01-04 20:00:00,5.96910485177e-06,0.0,0.00011155380631,0.000130036588751,0.000456840705787,50.5,0.00076788965399,51.5458207641,0.0173730437358
2011-01-04 21:00:00,5.78811292221e-06,0.0,0.000109199915647,0.000132388212133,0.000468542128445,51.6,0.000778711175887,52.6517520852,0.017745787693
2011-01-04 22:00:00,5.56745208564e-06,0.0,0.000109089235672,0.000132518390416,0.000505733479727,53.9,0.000789772872391,54.9549617862,0.0185220632916
2011-01-04 23:00:00,5.70769220502e-06,0.0,0.000111813906115,0.000129671568037,0.000481358866516,53.4,0.000795262013484,54.4548923812,0.0183535195083
2011-01-05 00:00:00,5.36563714468e-06,0.0,0.000115749642706,0.000125830952122,0.000467612842911,54.0,0.000792959688835,55.054518979,0.0185556181257
2011-01-05 01:00:00,4.66519253422e-06,0.0,0.000117590586823,0.000124326632414,0.000503421774717,56.0,0.000787290424552,56.7374560324,0.0191228365461
2011-01-05 02:00:00,3.51313204471e-06,0.0,0.00012671690626,0.00011605755953,0.0004799946649,56.5,0.000764158888989,57.2248379177,0.0192871041179
2011-01-05 03:00:00,4.1168442795e-06,0.0,0.000139567387059,0.000104147716713,0.000409163430469,54.9,0.000716186180857,55.6205054583,0.0187463786513
