,Demand,Lost Load,Curtailment,Electric resistance consumption,RES production,BESS outflow,BESS inflow,Genset production,Diesel consumption,BESS state of charge
2017-01-07 14:05:00,75.217,0.0,0.00013772638283171545,396.43840959383704,2.95594140033908e-08,1.2664609537247837e-05,1.423151840513389e-05,471.6555488575694,2.662915248744181,8.55578745843831e-05
2017-01-07 14:06:00,76.602,0.0,0.0001388003819329242,405.7924045823512,2.95594140033908e-08,1.2658892372377191e-05,1.423683029483586e-05,482.3945449311116,2.7235464370546048,8.556122516720109e-05
2017-01-07 14:07:00,77.213,0.0,0.00014022386199030734,422.9014125169367,2.95594140033908e-08,1.265218018814949e-05,1.4243162832156117e-05,500.1145543022219,2.8235916570811987,8.556477383856726e-05
2017-01-07 14:08:00,78.898,0.0,0.0001216495147389196,404.76126718259866,2.95594140033908e-08,1.266825718078098e-05,1.4226096062376582e-05,483.65939036039293,2.7306876149525348,8.556777023357628e-05
2017-01-07 14:09:00,77.754,0.0,0.00011944580134581884,341.9282531993204,2.95594140033908e-08,1.2668786782889241e-05,1.4225131152610778e-05,419.6823741719067,2.3694804323165464,8.557074205958227e-05
2017-01-07 14:10:00,78.194,0.0,0.00012048244107631945,370.8982565204837,2.946022133894989e-08,1.2679524673584776e-05,1.421570362773847e-05,449.09237850964354,2.5355260755964517,8.557337623239717e-05
2017-01-07 14:11:00,78.073,0.0,0.00012055051200832168,372.1252538526388,2.946022133894989e-08,1.267458536950445e-05,1.4220155202316394e-05,450.1983759192604,2.541770415081642,8.557618747717671e-05
2017-01-07 14:12:00,79.958,0.0,0.00012164878648945887,399.31325789869595,2.946022133894989e-08,1.2667283201208855e-05,1.4226950729717388e-05,479.27138107768974,2.7059133981351047,8.557921449177954e-05
2017-01-07 14:13:00,79.038,0.0,0.00012166161906179696,400.4682580401759,2.946022133894989e-08,1.2662352135930314e-05,1.4231401198042419e-05,479.5063812413838,2.7072401831604775,8.558239848204801e-05
2017-01-07 14:14:00,76.971,0.0,0.00011879898229949504,320.73524795588827,2.946022133894989e-08,1.266445665939293e-05,1.4228886455659989e-05,397.70636828984016,2.245406325032973,8.558550573409783e-05
2017-01-07 14:15:00,76.521,0.0,0.00011752121071140209,282.03724160060773,2.946022133894989e-08,1.2682151928891314e-05,1.4212578874216132e-05,358.5583606227852,2.0243809881593564,8.558804433945026e-05
2017-01-07 14:16:00,74.997,0.0,0.00011746661917300116,281.80724153649004,2.946022133894989e-08,1.267743971154929e-05,1.4216814587934053e-05,356.8043605130239,2.0144780968440825,8.559075261499145e-05
2017-01-07 14:17:00,75.742,0.0,0.0001315856510757385,302.91039186320165,2.946022133894989e-08,1.2651792506268968e-05,1.4241840902305377e-05,378.6525250094409,2.1378304257533927,8.559428715723814e-05
2017-01-07 14:18:00,76.157,0.0,0.00013850432888773412,397.30341335179605,2.946022133894989e-08,1.2637608068803447e-05,1.4255985384281676e-05,473.4605534450421,2.673106105719524,8.55982945035629e-05
2017-01-07 14:19:00,73.914,0.0,0.00013620215716514394,372.53840771570395,2.946022133894989e-08,1.2635193535866143e-05,1.4257761542856929e-05,446.45254551096895,2.52062186941604,8.56023723326254e-05
2017-01-07 14:20:00,74.908,0.0,0.00013793541444329094,386.6804113436218,2.866668002342262e-08,1.264605227415251e-05,1.4248356423007986e-05,461.58855085267373,2.6060780874699283,8.560611074310983e-05
2017-01-07 14:21:00,74.456,0.0,0.00014147431954825151,430.2724246756327,2.866668002342262e-08,1.2636894394723545e-05,1.4257277969181251e-05,504.72856774166917,2.849641868460192,8.561017101020014e-05
2017-01-07 14:22:00,74.439,0.0,0.0001396551220125275,412.90042676898184,2.866668002342262e-08,1.2633445017420442e-05,1.4260107405499522e-05,487.3395680220995,2.7514654924463615,8.561431665785002e-05
2017-01-07 14:23:00,73.679,0.0,0.00014029918389724116,421.3034288864564,2.866668002342262e-08,1.262770460002424e-05,1.4265406646462664e-05,494.98257079467567,2.7946170437820443,8.561864691922559e-05
2017-01-07 14:24:00,75.45,0.0,0.00012156138544128225,388.07126312894655,2.866668002342262e-08,1.2643748216244503e-05,1.4248324559647512e-05,463.5213862662416,2.6169906632014546,8.562242524727537e-05
2017-01-07 14:25:00,74.909,0.0,0.00012071103975586084,366.28126249575234,2.866668002342262e-08,1.2658859833956232e-05,1.4234540241123009e-05,441.1903847538058,2.4909122897120923,8.562572020751497e-05
2017-01-07 14:26:00,74.119,0.0,0.00011930880563681967,325.069250598783,2.866668002342262e-08,1.2657746786485851e-05,1.4235184530563601e-05,399.1883714563597,2.25377355158288,8.562906483040158e-05
2017-01-07 14:27:00,76.039,0.0,0.0001329633634838956,317.339385468677,2.866668002342262e-08,1.2635787660558945e-05,1.4256675001974271e-05,393.37852002426115,2.2209717706880148,8.563311503265988e-05
